Theme;Question;Reponse_Correcte;Reponse_Incorrecte_1;Reponse_Incorrecte_2;Reponse_Incorrecte_3
nature;La combustion de quel produit contribue le plus au réchauffement climatique ?;Le charbon;Le bois;Le carton;Le PVC
nature;Dans une habitation, quel est le poste le plus gourmand en électricité ?;Production de froid;Sèche-linge;Éclairage;Télévision
nature;En quelle année s'est terminée la première période d'engagement du protocole de Kyoto ?;2012;2008;2016;2004
nature;Qui sont principalement responsables de l'augmentation de l'effet de serre ?;Hommes;Animaux;Bactéries;Planètes
nature;Quel est le type de transport de marchandises le plus économe en énergie ?;Fluvial;Routier;Ferroviaire;Aérien
nature;Le pétrole, le gaz et le charbon sont classés parmi quel type d'énergies ?;Fossiles;Solaires;Propres;Renouvelables
nature;Quel pays est le plus grand émetteur de gaz à effet de serre ?;Chine;États-Unis;Inde;Russie
nature;Lequel de ces effets n'est pas lié aux changements climatiques ?;Espérance de vie;Migration animale;Fonte des glaciers;Montée des eaux
nature;Durant quelle révolution augmentèrent les émissions de gaz à effet de serre ?;Industrielle;Française;Numérique;Culturelle
nature;Que signifie la lettre A sur l'étiquette-énergie d'un réfrigérateur ?;Non énergivore;Anti-poussière;Le plus froid;Auto-nettoyant
nature;Hormis le CO2, lequel de ces autres gaz est couvert par le protocole de Kyoto ?;Méthane;Butane;Propane;Acétylène
nature;Pour quelle part le CO2 contribue-t-il à l'effet de serre causé par les activités humaines ?;60%;20 %;40 %;80 %
nature;En France, quelle est la moyenne de CO2 émis en 2007 par habitant et par an ?;5.8 T;4.2 T;3.7 T;2.3 T
nature;Par combien les pays doivent-ils diviser leurs émissions de gaz à effet de serre d'ici 2050 ?;Par 4;Par 2;Par 6;Par 8
nature;Combien de CO2 est émis par chaque passager d'un vol aller-retour Paris-New York ?;1.2 T;39 Kg;257 Kg;593 Kg
nature;Outre le biodiesel, quelle est l'autre principale filière des biocarburants en France ?;Bioéthanol;Super bio;Bio gazole;Bio kérosène
nature;Paris a accueilli la COP21, COP étant l'acronyme de Conference Of the...;Parties;Populations;Power;Problems
nature;L'objectif de la COP 21 fut de limiter le réchauffement climatique à quoi ?;2°C;2%;2 Gigawatts;2 ans
nature;Quelle température y aurait-il sur Terre sans l'effet de serre ?;-18°C;4°C;47°C;98°C
nature;En France, on utilise sa voiture en moyenne pour quel pourcentage de ses déplacements ?;80 %;60 %;40 %;20 %
nature;Quelle est la température moyenne à la surface de la Terre ?;15° C;25° C;35° C;5° C
nature;Comment appelle-t-on un système qui absorbe naturellement les émissions de CO2 ?;Puits de carbone;Biosphère;Écogénome;Défoliant
nature;Quelle est la durée de vie moyenne du protoxyde d'azote (N2O) dans l'atmosphère ?;114 ans;83 ans;67 ans;39 ans
nature;Laquelle de ces maladies risque de s'étendre si le climat se réchauffe ?;Paludisme;Tuberculose;Grippe;SIDA
nature;Comment appelle-t-on les émissions de gaz à effet de serre dues à l'activité humaine ?;Anthropiques;Anthropologiques;Anthropomorphiques;Anthropocènes
nature;Quel groupe intergouvernemental d'experts étudie les changements climatiques ?;GIEC;URB;CPO;GPRS
nature;Via quel dispositif de prévention l'UE lutte-t-elle contre le réchauffement climatique ?;PECC;BASF;ISDN;ACDC
nature;Comment appelle-t-on la fraction d'énergie solaire réfléchie par la Terre vers l'espace ?;Albédo;Actinisme;Zonation;Iris
nature;Entre 1901 et 2010, de combien de centimètres le niveau de la mer s'est-il élevé ?;19;8;25;37
nature;En quelle année est apparu pour la première fois le terme « effet de serre » ?;1824;1934;1956;1989
nature;Quelle substance utilise-t-on souvent pour faire rapidement fondre la neige sur les routes ?;Sel;Sucre;Poivre;Farine
nature;Quelle jeune artiste a chanté « Jour de neige » à la télévision en 1988 ?;Elsa;Jakie Quartz;Lio;Patricia Kaas
nature;Quel engin hivernal est principalement utilisé pour dégager la neige de nos chaussées ?;Chasse-neige;Niveleuse;Épandeuse;Autoneige
nature;Comment s'appelle la meilleure amie de Sébastien à la télévision ?;Belle;Sidonie;Prunelle;Aglaé
nature;Qui a écrit le roman français « La neige en deuil » proposé à de nombreux étudiants ?;Henri Troyat;Bernard Clavel;Jean Vautrin;Jean-Paul Sartre
nature;Quel chien d'attelage originaire de Sibérie possède souvent des yeux bleus ?;Husky;Barzoï;Lévrier;Épagneul
nature;Quel général africain traversa les Alpes avec des éléphants ?;Hannibal;Hasdrubal;Didon;Hannon
nature;En Europe, quelle est la première fleur qui pousse généralement à la fin de l'hiver ?;Crocus;Acacia;Dahlia;Ficus
nature;Quel équipement est obligatoire pour prendre le départ d'une compétition de descente en ski ?;Casque;Genouillères;Brassard;Lunettes
nature;Quelle station Blanche-Neige aurait-elle probablement fort apprécié ?;Les Sept Laux;Méaudre;Autrans;Chamrousse
nature;Quelle est la forme initiale du prisme du cristal de glace ?;Hexagonale;Sphérique;Cubique;Linéaire
nature;Qui a écrit la nouvelle intitulée « Les neiges du Kilimandjaro » ?;Hemingway;Mauriac;Camus;Steinbeck
nature;Quel champion italien a remporté le slalom et le slalom géant aux Jeux olympiques de Calgary ?;Alberto Tomba;Max Julien;Markus Wasmeier;Ingemar Stenmark
nature;À quelle peuplade nordique doit-on entre autres l'invention de la luge ?;Vikings;Celtes;Romains;Écossais
nature;Qui a réussi en 1986 la traversée du Pôle Nord en tirant lui-même son traîneau ?;Jean-Louis Étienne;Louis Marot;Guy Bernardin;Henri Joutel
nature;Dans quelle discipline Franck Piccard a-t-il remporté une médaille d'or aux JO de Calgary ?;Super Géant;Combiné;Freestyle;Descente
nature;Quelle ville autrichienne traversée par l'Inn est la capitale du Tyrol ?;Innsbruck;Vienne;Graz;Salzbourg
nature;Quelle est l'activité économique principale des frontières pyrénéennes et alpines ?;Tourisme;Élevage;Fromage;Charcuterie
nature;Que signifie le mot « ski » en norvégien, d'où provient son origine ?;Bûche;Bâton;Botte;Sabot
nature;Les meules de quel fromage affine-t-on au fort des Rousses, dans le Jura ?;Comté;Brie noir;Emmental;Chaumes
nature;Quelle station a été noyée sous un barrage en 1952 et reconstruite ensuite un peu plus haut ?;Tignes;Val-d'Isère;Les Arcs;Méribel
nature;Quel nom portait la toute première marque de snowboard ?;Winterstick;Burton;Santa Cruz;Plan-B
nature;Quel écrivain français a publié « L'autre versant » en 1983 ?;Gay-Lussac;Gauvin;Genevoix;Gauthier
nature;Comment appelle-t-on une petite luge en bois avec un seul patin au centre ?;Paret;Bobsleigh;Skeleton;Kitesurf
nature;Quel photographe de Chamonix est célèbre par sa collection de photos de ski et de montagne ?;Pierre Tairraz;René Tanguy;John Thomas;Marc Trivier
nature;Quel saint catholique prénommé Bernard est devenu le Saint Patron des skieurs ?;B. de Menthon;B. de Vienne;B. de Sales;B. d'Agaune
nature;Quel village de Savoie est aujourd'hui célèbre pour ses diables sculptés dans le bois ?;Bessans;Bonneval;Bramans;Modane
nature;Qui a composé la version originale de la chanson populaire « Étoile des neiges » ?;Franz Winkler;Jakob Dont;Paul Pisk;Marcel Tyberg
nature;En quelle année a-t-on fêté le bicentenaire de l'ascension du Mont-Blanc ?;1986;1966;2006;1946
nature;Quelle est la plus ancienne fabrique de skis de France des années 1920 ?;Duret;Atomic;Dynastar;Nordica
nature;Quelle est la couleur du coquelicot, abondante dans les terrains fraîchement remués ?;Rouge;Jaune;Pourpre;Verte
nature;Quelle sorte de passereau mange les graines des chardons ?;Chardonneret;Fauvette;Pinson;Rossignol
nature;Quelle vitesse maximale peut atteindre un lièvre, petit mammifère proche du lapin ?;70 km/h;50 km/h;90 km/h;110 km/h
nature;Quelle partie du corps de la taupe lui permet de s'orienter à reculons sous la terre ?;Sa queue;Sa tête;Ses pattes;Son museau
nature;Comment sont appelées les larves du hanneton qui sont radicivores ?;Vers blancs;Nymphes;Chenilles;Coques
nature;De quoi est faite la coquille de l'escargot de Bourgogne ?;Calcaire;Corne;Granit;Schiste
nature;Comment s'appelle la femelle du renard, encore fréquemment appelé goupil ?;Renarde;Renardine;Renardelle;Renardeaude
nature;Combien de vertèbres possède un ver de terre, dont plus de 5 000 espèces sont connues ?;Aucune;32;178;432
nature;Parmi ces propositions, laquelle désigne une sorte de « souris des champs » ?;Mulot;Musaraigne;Muscardin;Mulet
nature;Quel partie du corps de la mouche bleue lui permet de manger ?;La trompe;Les pattes;Les mâchoires;Les ailes
nature;Quelle graminée cultivée comme céréale ou comme fourrage ne possède pas de barbe ?;Avoine;Seigle;Orge;Blé
nature;Comment le lièvre est-il parfois appelé en raison de sa robe brune ?;Capucin;Jacobin;Chanoine;Augustin
nature;Quelles plantes possédant des fruits à noyau peut-on trouver en lisière des forêts ?;Prunelles;Nénuphars;Lierre grimpant;Cactus
nature;Combien de points la coccinelle des légumineuses a-t-elle sur sa carapace ?;24;34;14;44
nature;Quelle est la particularité du vol du faucon crécerelle ?;Il est stationnaire;Il est vertical;Il est en vagues;Il est actif
nature;Entouré de ses poils piquants, quel âge un hérisson peut-il atteindre ?;De 3 à 7 ans;6 mois;De 1 à 3 ans;De 8 à 12 ans
nature;De combien de degrés le faucon crécerelle peut-il tourner la tête ?;180;120;320;270
nature;Considéré comme insecte ravageur, à quelle hauteur un criquet peut-il sauter ?;70 cm;12 cm;130 cm;210 cm
nature;Comment appelle-t-on un bois de cerf à douze excroissances ?;12 cors;12 breuil;12 sylve;12 fourré
nature;Quel animal prétendument disparu depuis presque 100 ans est réapparu en 2009 ?;Le chat sauvage;La vipère;Le faisan;La loutre
nature;Quel est l'autre nom de la primevère, une des premières fleurs du printemps ?;Coucou;Pivert;Moineau;Merle
nature;Quand fleurit la camomille sauvage, parfois appelée camomille allemande ?;De mai à septembre;De janvier à avril;De mai à juillet;De juillet à février
nature;Quel mustélidé, souvent rencontré en zone de montagne, change de fourrure en hiver ?;L'hermine;Le blaireau;Le putois;La loutre
nature;Avec quelle plante peut-on confondre l'ail des ours, jadis associé à la magie blanche ?;Muguet;Origan;Primevère;Basilic
nature;De quelle manière les musaraignes explorent-elles leur environnement ?;Par écho;Avec leur odorat;Par infrarouge;Par télépathie
nature;Quelle espèce de corneille nichant en colonies possède un bec clair ?;Le corbeau freux;La corneille mantelée;La corneille noire;La pie bavarde
nature;Quel est l'autre nom du chevreuil mâle, petit animal agile et très rapide ?;Le brocard;Le cerf;Le renne;Le daim
nature;Comment les Américains nomment-ils le doryphore de la pomme de terre ?;Colorado beetle;Azirona bug;Lady potatoe;Big dory
nature;Laquelle de ces propositions ne désigne pas un coléoptère ?;Scarabée zèbre;Cerf-volant;Cétoine;Bousier
nature;Avec son masque noir bordé de blanc, d'où le raton laveur est-il originaire ?;Amérique du Nord;Australie;Afrique;Océanie
Covid 19;Quelle ville chinoise est considérée comme l'épicentre du démarrage du COVID-19 ?;Wuhan;Beijing;Shanghai;Taiwan
Covid 19;Avec quel film de Steven Soderbergh le COVID-19 présente-t-il des points communs ?;« Contagion »;« Bubble »;« Paranoïa »;« Traffic »
Covid 19;Quelles émissions furent réduites suite aux effets de l'épidémie de COVID-19 ?;CO2;H2O;NO;FeO
Covid 19;La baisse du cours de quelle ressource est due à la chute de l'économie suite au COVID-19 ?;Pétrole;Charbon;Zinc;Nickel
Covid 19;Quel célèbre carnaval international a annulé ses deux derniers jours de festivité en 2020 ?;Venise;Binche;Rio;Rome
Covid 19;Quel président américain a remercié les efforts menés par la Chine face au COVID-19 ?;Donald Trump;Barack Obama;George W. Bush;Bill Clinton
Covid 19;Qu'a-t-on contrôlé en 2020 chez les voyageurs qui sortaient des avions venant de Chine ?;Température;Sang;Pupilles;Mains
Covid 19;Qu'est-il préférable de porter pour minimiser la propagation d'un coronavirus ?;Masque facial;Cagoule;Bonnet;Écharpe
Covid 19;Au cours de quel mois l'épidémie du COVID-19 aurait-elle débuté ?;déc-19;janv-20;févr-20;mars-20
Covid 19;Quelle organisation a déclaré face au COVID-19 l'état d'urgence sanitaire le 30 janvier 2020 ?;OMS;UNESCO;UNICEF;CESAP
Covid 19;Le 28 février 2020, quel pays d'Europe était le plus touché par le COVID-19 ?;Italie;France;Allemagne;Suisse
Covid 19;Quelle ministre de la Santé a annoncé le décès d'un premier patient en France ?;Agnès Buzyn;Françoise Nyssen;Muriel Pénicaud;Sylvie Goulard
Covid 19;Quels bâtiments ont été construits à Wuhan en seulement quinze jours par 7 500 ouvriers ?;Hôpitaux;Crêches;Prisons;Théâtres
Covid 19;De quelle autre maladie les symptômes de COVID-19 sont-ils assez proches ?;Grippe;Hépatite;Oreillons;Rougeole
Covid 19;Combien de temps un masque facial bien porté reste-t-il pleinement efficace ?;Trois heures;Trois jours;Trois mois;Trois ans
Covid 19;En février 2020, quel pays a décidé d'expulser les étrangers contaminés par le COVID-19 ?;Russie;Brésil;Canada;Inde
Covid 19;Quelle hostilité à ce qui est étranger s'est développée en France, en Italie et au Canada ?;Xénophobie;Adultisme;Genrisme;Misandrie
Covid 19;Quel célèbre et gigantesque parc de Shanghai a fermé ses portes le 24 janvier 2020 ?;Disneyland;Magic Kingdom;Everland;Ocean Park
Covid 19;Quel pays a confiné des personnes contaminées dans un bâtiment du National Health Service ?;Royaume-Uni;Irlande;Canada;Australie
Covid 19;Selon des études scientifiques, quel animal aurait transmis le COVID-19 à l'homme ?;Chauve-souris;Lapin;Grenouille;Singe
Covid 19;Quelle ville chinoise a décrété le niveau d'alerte sanitaire maximal le 25 janvier 2020 ?;Hong Kong;Shanghai;Chongqing;Tianjin
Covid 19;Quel navire de croisière fut confiné dans le port de Yokohama durant quatorze jours ?;Diamond Princess;Golden Princess;Island Princess;Emerald Princess
Covid 19;Quelle commune de Lombardie constituait en février 2020 le principal foyer italien du COVID ?;Codogno;Mulazzano;Maleo;Bertonico
Covid 19;Quel coronavirus est à l'origine de l'épidémie qui a débuté fin 2019 dans le monde ?;SARS-CoV-2;Zika;Chikungunya;Dengue
Covid 19;Dans quel pays les trois premiers malades européens du COVID-19 furent-ils annoncés ?;France;Espagne;Italie;Belgique
Covid 19;Quelle était la période d'incubation maximale fixée en février 2020 à l'égard du COVID-19 ?;14 jours;21 jours;28 jours;35 jours
Covid 19;En 2020, quelle ville a dû reporter le Salon international des inventions ?;Genève;Bruxelles;Berlin;Madrid
Covid 19;Quelle est la durée de vie en milieu humide du COVID-19 hors organisme ?;Trois jours;Trois heures;Six jours;Six heures
Covid 19;Quel pays fut le théâtre d'un foyer épidémique centré sur la secte Shincheonji ?;Corée du Sud;Japon;Chine;Corée du Nord
Covid 19;Quel médecin a déclaré que le monde n'était pas prêt à faire face au coronavirus ?;Bruce Aylward;Robert Wylie;Michel Fernex;Hans Klug
Sciences;Quel os, composé de 6 os soudés, est le plus grand du corps humain ?;Le bassin;La hanche;La rotule;Le fémur
Sciences;Combien de neurones un cerveau en pleine possession de ses capacités contient-il ?;14 milliards;12 millions;10 mille;800
Sciences;Quel os du corps humain est à peine plus grand qu'un grain de riz ?;L'étrier;La mandibule;L'occipital;Le radius
Sciences;Combien d'os même minuscules comptabilise-t-on dans chacune de nos oreilles externes ?;Aucun;Trois;Six;Neuf
Sciences;Combien de vertèbres thoraciques ou dorsales s'articulent avec les côtes ?;12;6;18;24
Sciences;De combien de muscles différents les abdominaux sont-ils formés ?;Quatre;Six;Huit;Dix
Sciences;Quelle partie du corps secrète des substances anti-bactériennes qui détruisent les spores ?;La peau;Les cheveux;Les dents;Le genou
Sciences;Combien de dents de lait sont remplacées à partir de 6 ans par 32 dents définitives ?;20;14;26;32
Sciences;Combien de paires de côtes constitue la partie avant du squelette humain ?;12;24;6;32
Sciences;Quelle partie du corps humain protège la partie inférieure du tube digestif ?;Coccyx;Sternum;Tibia;Tarse
Sciences;De manière générale, quel pourcentage du poids du corps les muscles représentent-ils ?;35 %;25 %;45 %;55 %
Sciences;Combien de globules rouges peut-on retrouver dans une simple goutte de sang ?;5 000 000;600 000;90 000;7 000
Sciences;Quelle est la durée de vie moyenne d'un globule rouge dans l'organisme ?;4 mois;3 semaines;2 jours;1 heure
Sciences;Quelle quantité de nourriture un adulte consomme-t-il environ chaque année ?;500 kilos;200 kilos;800 kilos;1 tonne
Sciences;À combien a été mesurée la vitesse record d'un éternuement ?;165 km/h;145 km/h;125 km/h;105 km/h
Sciences;Quelle quantité d'eau perd-on environ par jour en respirant ?;1 litre;2 litres;3 litres;4 litres
Sciences;Combien de poils comptabilise-t-on environ sur la surface de la peau d'un adulte ?;1 million;2 millions;3 millions;4 millions
Sciences;Lequel de ces gaz n'est pas un gaz essentiel du corps humain ?;Sarin;Oxygène;Carbone;Hydrogène
Sciences;Combien de cheveux perdons-nous chaque jour en moyenne ?;80;170;240;390
Sciences;La main d'un individu adulte comporte combien d'os ?;26;20;32;40
Sciences;De combien d'os le squelette du bébé, sorti du ventre de sa mère, est-il constitué ?;350;250;150;450
Sciences;Environ combien de globules sanguins meurent chaque seconde dans notre organisme ?;2 000 000;10 000;900;300 000
Sciences;Quel très long muscle va de l'extérieur de la hanche à la face interne du genou ?;Sartorius;Biceps;Tibial;Fléchisseur
Sciences;En combien de temps un globule rouge fait-il le tour complet de notre corps ?;1 minute;1 seconde;1 heure;1 jour
Sciences;Combien de litres de salive produit-on en moyenne chaque jour ?;1,5;3;4,5;6
Sciences;Quel muscle situé au fond de l'oreille ne mesure que 2 millimètres de long ?;Stapédien;Temporal;Orbiculaire;Zygomatique
Sciences;Au repos, combien de litres d'air un adulte inspire-t-il et expire-t-il par minute ?;6;4;8;10
Sciences;Des pieds à la tête, combien de muscles squelettiques compte notre corps ?;600;400;200;800
Sciences;En moyenne, combien de fois le coeur bat-il au cours d'une vie entière ?;3 milliards;500 millions;300 mille;6 milliards
Sciences;Quelle est la durée de vie maximum d'un cheveu poussant sur la tête d'un individu ?;5 ans;3 ans;1 an;6 mois
